over,under
Taemas Limestone,Majurgong Formation
Makbat Sandstone,Leichhardt Volcanics
Makbat Sandstone,Wills Creek Granite
Malabar Formation,Mount Ogilvie Formation
Althorpe Formation,Malabar Formation
Malachis Hill Formation,Cargo Volcanics
Malachis Hill Formation,Fairbridge Volcanics
Malachis Hill Formation,Ballingoole Limestone
Malachis Hill Formation,Downderry Limestone Member
Malachis Hill Formation,Bowan Park Limestone Subgroup
Ferntree Group,Malbina Formation
Malbina Formation,Berriedale Limestone
Malbina Formation,Garcia Sandstone
Abels Bay Formation,Malbina Formation
Palmer Sandstone,Malbina Formation
Risdon Sandstone,Malbina Formation
Malbina Formation,Cascades Group
Malchi Formation,Gudman Oolite
Amelia Dolostone,Mallapunyah Formation
Mallapunyah Formation,Echo Sandstone
Mallapunyah Formation,Masterton Sandstone
Bulgadoo Shale,Mallens Sandstone
Mallens Sandstone,Coyrie Formation
Malongulli Formation,Cliefden Caves Limestone Group
Malongulli Formation,Vandon Limestone
Angullong Formation,Malongulli Formation
Millambri Formation,Malongulli Formation
Malongulli Formation,Cliefden Caves Limestone Subgroup
Malongulli Formation,Mount Pleasant Andesite
Flacourt Formation,Malouet Formation
Malouet Formation,Dupuy Formation
Mount Holly Formation,Barmundoo Formation
Puntapunta Formation,Malu Formation
Malu Formation,Isdell Formation
Tirari Formation,Mampuwordu Sand
Barn Bluff Conglomerate,Bluff River Pebbly Siltstone
Tulki Limestone,Mandu Limestone
Mandu Limestone,Giralia Calcarenite
Mandu Limestone,Walcott Formation
Trealla Limestone,Mandu Limestone
Mount Shannan Iron Formation,Mangalo Schist
Mangalo Schist,Darke Peak Group
Lower Middleback Jaspilite,Mangalo Schist
Manganese Group,Pinjian Chert Breccia
Googhenama Formation,Manganese Group
Karkulta Rhyolite,Mangaroongah Dacite
Arburee Rhyolite,Mangaroongah Dacite
Mangaroongah Dacite,Childera Dacite
Mannum Formation,Ettrick Formation
Finniss Formation,Mannum Formation
Morgan Limestone,Mannum Formation
Mannum Formation,Gambier Limestone
Kolbar Formation,Mant Basalt
Garra Limestone,Maradana Shale
Maradana Shale,Goonigal Group
Maradana Shale,Wansey Formation
Berkley Formation,Maradana Shale
Walloon Coal Measures,Marburg Subgroup
Marburg Subgroup,Woogaroo Subgroup
Elcho Island Formation,Marchinbar Sandstone
Marchinbar Sandstone,Raiwalla Shale
Marda Complex,Diemals Formation
Mardie Greensand Member,Birdrong Sandstone
Muderong Shale,Mardie Greensand Member
Mardie Greensand Member,Barrow Group
Mardie Greensand Member,Flacourt Formation
Barnetts Member,Cygnet Coal Measures
Bone Creek Sandstone,Margaret Hill Conglomerate
Margaret Hill Conglomerate,West Branch Volcanics
Crocker Sandstone,Maria Formation
Barney Creek Formation,Teena Dolostone
Reward Dolostone,Barney Creek Formation
Barney Creek Formation,Coxco Dolostone Member
Mariner Group,Sledgers Group
Mariner Group,Molar Formation
Marion Formation,Wilgunya Formation
Noranside Limestone,Marion Formation
Austral Downs Limestone,Marion Formation
Bulahdelah Formation,Markwell Coal Measures
Markwell Coal Measures,Alum Mountain Volcanics
Esk Formation,Maronghi Creek beds
Gilla Volcanics,Maronghi Creek beds
Marra Mamba Iron Formation,Fortescue Group
Wittenoom Formation,Marra Mamba Iron Formation
Carawine Dolomite,Marra Mamba Iron Formation
Marra Mamba Iron Formation,Jeerinah Formation
Mitakoodi Quartzite,Marraba Volcanics
Marraba Volcanics,Argylla Formation
Marrangaroo Conglomerate,Nile Subgroup
Woonona Coal,Marrangaroo Conglomerate
Marrangaroo Conglomerate,Kulnura Marine Tongue
Marree Subgroup,Parabarana Sandstone
Winton Formation,Marree Subgroup
Eyre Formation,Marree Subgroup
Marree Subgroup,Cadna owie Formation
Oorabra Arkose,Marshall Granite
Aldgate Sandstone,Barossa Complex
Burra Group,Barossa Complex
Marshs Creek Formation,Malairo Rhyolite Member
Marshs Creek Formation,Hells Gate Rhyolite
Martins Creek Ignimbrite Member,Flagstaff Formation
Martins Creek Ignimbrite Member,Wallaringa Formation
Bryden Formation,Marumba beds
Marumba beds,Jimna Phyllite
Marumba beds,Gallangowan Granodiorite
Marumba beds,Amamoor beds
Fleming Sandstone,Marura Siltstone
Marura Siltstone,Badalngarrmirri Formation
Maryborough Formation,Grahams Creek Formation
Elliott Formation,Maryborough Formation
Maryborough Formation,Myrtle Creek Sandstone
Burrum Coal Measures,Maryborough Formation
