over,under
Cadda Formation,Cattamarra Coal Measures
Cadda Formation,Cockleshell Gully Formation
Bootheragandra Group,Wagga Group
Bootheragandra Group,Clements Formation
Currawalla Shale,Clements Formation
Gurragong Volcanic Complex,Clements Formation
Cocoparra Group,Clements Formation
Cadelga Limestone,Etadunna Formation
Cadelga Limestone,Doonbara Formation
Cadia Coach Shale,Bagdad Formation
Cadia Coach Shale,Forest Reefs Volcanics
Waugoola Group,Cadia Coach Shale
Doncaster Member,Cadna owie Formation
Cadna owie Formation,Crowl Creek Formation
Cadna owie Formation,Nebine Metamorphics
Cadna owie Formation,Hooray Sandstone
Gillen Formation,Heavitree Quartzite
Loves Creek Formation,Gillen Formation
Areyonga Formation,Gillen Formation
Pioneer Sandstone,Gillen Formation
Barkly Group,Kiana Group
Brunette Limestone,Barkly Group
Barkly Group,Narpa Group
Arrinthrunga Formation,Barkly Group
Barkly Group,Thorntonia Limestone
Barkly Group,Helen Springs Volcanics
Barkly Group,Renner Group
Fortescue Group,Bridget Suite
Glendara Granite,Tuloona Granodiorite
Dooloo Tops Volcanics,Rockhampton Group
Mount Buffalo Rhyolite,Ametdale Volcanics
Mount Buffalo Rhyolite,Carmila beds
Leura Volcanics,Camp Creek Granite
Ametdale Volcanics,Leura Volcanics
Ametdale Volcanics,Connors Volcanics
Leura Volcanics,Lotus Creek Rhyolite
Coppermine Andesite,Macksford Volcanics
Glenprairie beds,Tanderra Volcanics
Wongrabry beds,Glenprairie beds
Back Creek Group,Glenprairie beds
Collaroy Volcanics,Mountain View Volcanics
Roper Group,Burash Sandstone
Nathan Group,Burash Sandstone
Karns Dolomite,Echo Sandstone
Echo Sandstone,Gold Creek Volcanics
Echo Sandstone,Hobblechain Rhyolite
Marlgowa Sandstone,Gilruth Volcanic Member
Marlgowa Sandstone,Gumarrirnbang Sandstone
Karri Karri Member,Windidda Member
Wandiwarra Member,Karri Karri Member
Chiall Formation,Karri Karri Member
Karri Karri Member,Frere Formation
Chiall Formation,Windidda Member
Chiall Formation,Frere Formation
Alsace Quartzite,Eastern Creek Volcanics
Eel Creek Formation,Coonieena Basalt
Coonieena Basalt,Cundaline Formation
Coonieena Basalt,Nimingarra Formation
Calivil Formation,White Hills Gravel
Newer Volcanics,Calivil Formation
Sandringham Sandstone,Calivil Formation
Loxton Sand,Calivil Formation
Calivil Formation,Coonambidgal Formation
Calivil Formation,Castlemaine Group
Sunbury Group,Castlemaine Group
Kerrie Group,Sunbury Group
Murrindindi Supergroup,Sunbury Group
Bumballa Formation,Adaminaby Group
Bumballa Formation,Abercrombie Formation
Bumballa Formation,Nattery Chert Member
Bumballa Formation,Numeralla Chert
Mount James Subgroup,Camel Hills Metamorphics
Spring Camp Formation,Camel Hills Metamorphics
Bear Gully Chert Bed,Maitland Beach Volcanics
Digger Island Marlstone,Maitland Beach Volcanics
Callabonna Clay,Pooraka Formation
Cottee Formation,Kombolgie Subgroup
Kombolgie Subgroup,Edith River Group
Kombolgie Subgroup,Geolsec Formation
Uniya Formation,Kombolgie Subgroup
Kombolgie Subgroup,Marlgowa Sandstone
Kombolgie Subgroup,Plum Tree Creek Volcanics
Gilruth Volcanic Member,Gumarrirnbang Sandstone
Tolga Member,Cuga Burga Volcanics
Sturt Tillite,Callanna Group
Bunyeroo Formation,Callanna Group
Callanna Group,Gairdner Dyke Swarm
Hensleigh Siltstone,Mitchell Formation
Rosemeath Formation,Coolumbooka Granodiorite
Rosemeath Formation,Hospital Porphyry
Monaro Volcanics,Rosemeath Formation
Rosemeath Formation,Adaminaby Group
Price Metasediments,Hall Bay Volcanics
Cookamidgera Subgroup,Cudgelbar Sandstone Member
Cudgelbar Sandstone Member,Carlachy Sandstone Member
Cloghnan Shale,Carlachy Sandstone Member
Carlachy Sandstone Member,Cloghnan Shale
Walloy Rhyolite Member,Kirribilli Formation
Hervey Group,Warrangong Volcanics
Yarra Yarra Creek Group,Mulguthrie Formation
Yarnel Volcanics,Manna Conglomerate
Main Range Volcanics,Hivesville Granite
Tarong beds,Memerambi Granite
Main Range Volcanics,Memerambi Granite
Main Range Volcanics,Wooroolin Granite
Main Range Volcanics,Fifer Creek Metamorphics
Main Range Volcanics,Chahpingah Meta Igneous Complex
Chahpingah Meta Igneous Complex,Mountefontein Metamorphics
Mountefontein Metamorphics,Chahpingah Meta Igneous Complex
Spring Camp Formation,Quartpot Pelite
Yilgatherra Formation,Moorarie Supersuite
Kiangi Creek Formation,Moorarie Supersuite
Pooranoo Metamorphics,Moorarie Supersuite
Edmund Group,Moorarie Supersuite
Millindinna Intrusion,Fortescue Group
Nagoorin beds,Calliope beds
Mount Alma Formation,Calliope beds
Chintin Formation,Calton Hill Sandstone Member
Bardsley Formation,Earaheedy Subgroup
Bloods Range Formation,Wankari Volcanics
Karukali Quartzite,Pottoyu Granite Suite
Dean Quartzite,Pottoyu Granite Suite
Kulail Sandstone,Pottoyu Granite Suite
Chakola Formation,Adaminaby Group
Goonumbla Volcanics,Yarrimbah Formation
Sunbeam Group,Manganese Subgroup
Sunbeam Group,Collier Group
Disappointment Group,Sunbeam Group
Paterson Formation,Disappointment Group
Durba Sandstone,Disappointment Group
Sunbeam Group,Quadrio Formation
Quadrio Formation,Cornelia Sandstone
Rocky Tank Conglomerate Member,Wana Karnu Group
Camboon Volcanics,Torsdale Volcanics
Flowery Gully Limestone,Eaglehawk Gully Formation
Eaglehawk Gully Formation,Salisbury Hill Formation
Salisbury Hill Formation,Blyths Creek Formation
Salisbury Hill Formation,Corn Hill beds
Salisbury Hill Formation,Cabbage Tree Conglomerate
Salisbury Hill Formation,Dundas Group
Mallabah Dolostone,Pear Tree Dolostone
Kunja Siltstone,Mallabah Dolostone
Fraynes Formation,Campbell Springs Dolostone
Bardia Chert Member,Campbell Springs Dolostone
Dean Quartzite,Kulail Sandstone
Kulail Sandstone,Amputjuta Dacite
Kulail Sandstone,Puntitjata Rhyolite
Kulail Sandstone,Bloods Range Formation
Bloods Range Formation,Puntitjata Rhyolite
Dean Quartzite,Puntitjata Rhyolite
Innamincka Formation,Dullingari Group
Mudrangie Sandstone Member,Innamincka Formation
Narcoonowie Formation,Lycosa Formation
Buldya Group,Cornelia Sandstone
Wahlgu Formation,Buldya Group
Pirrilyungka Formation,Buldya Group
Nullagine Supersequence,Lalla Rookh Supersequence
Wyloo Supersequence,Turee Creek Supersequence
Turee Creek Supersequence,Woongarra Sequence
Camden Head Claystone,Jolly Nose Conglomerate
Coorabakh Conglomerate,Camden Head Claystone
Big Dick Basalt,Dixie Sill
Dixie Sill,Siberia Komatiite
Bent Tree Basalt,Coppermine Shale
Coppermine Shale,Mount Pleasant Sill
Mount Pleasant Sill,Cashmans Metasediment
Chambers Bluff Tillite,Alinya Formation
Cuga Burga Volcanics,Camelford Limestone
Camelford Limestone,Oakdale Formation
Eumeralla Formation,Tyers River Subgroup
Wonthaggi Formation,Tyers River Subgroup
Korumburra Subgroup,Tyers River Subgroup
Thorpdale Volcanic Group,Wonthaggi Formation
Neerim Volcanic Group,Wonthaggi Formation
Wonthaggi Formation,Exalt Member
Ballast Formation,Narrama Formation
Coast Range Sandstone,Groote Eylandt Group
Groote Eylandt Group,Bukudal Granite
Mount John Member,Wade Creek Formation
Ngaltinga Formation,Pirramimma Sandstone
Semaphore Sand Member,Waldeila Formation
Loddon Sandstone,Balgownie Coal
Glen Ward beds,Pitch Creek Volcanics
Strzelecki Group,Exalt Member
Exalt Member,Locmany Member
Yalwarra Volcanics,Knuckey Formation
Wonthaggi Formation,Rintoul Creek Formation
Jasdec Park Sandstone Member,Rowan Formation
Mamadawerre Sandstone,Edith River Group
Mamadawerre Sandstone,Kudjumarndi Quartzite
Mamadawerre Sandstone,Geolsec Formation
Pear Creek Formation,Kylena Formation
Kylena Formation,Hardey Formation
Kylena Formation,Cleland Supersuite
Kylena Formation,Elsie Creek Tonalite
Mingah Member,Kylena Formation
Kylena Formation,Yilgalong Granitic Complex
Kylena Formation,Mosquito Creek Formation
Kylena Formation,Golden Eagle Orthogneiss
Kylena Formation,Bamboo Creek Member
Kylena Formation,Koongaling Volcanic Member
Kylena Formation,Dampier Granitoid Complex
Fortescue Group,Sylvania Dyke Swarm
Campana Creek Member,Carrickalinga Head Formation
Backstairs Passage Formation,Campana Creek Member
Campana Creek Member,Blowhole Creek Member
Joe Joe Formation,Sedgeford Formation
Owen Group,Mount Read Volcanics
Owen Group,Mount Charter Group
Owen Group,Eastern Quartz Phyric Sequence
Owen Group,Dundas Group
Owen Group,Central Volcanic Complex
Denison Group,Owen Group
Gordon Group,Owen Group
Bulahdelah Formation,Alum Mountain Volcanics
Gloucester Coal Measures,Alum Mountain Volcanics
Alum Mountain Volcanics,Johnsons Creek Conglomerate
Mary Metamorphic Complex,Franklin Metamorphic Complex
Fincham Metamorphic Complex,Franklin Metamorphic Complex
Joaramin Ignimbrite,Kerrawarra Dacite Member
Kerrawarra Dacite Member,Kerillon Tuff Member
Barrallier Ignimbrite,Joaramin Ignimbrite
Crudine Group,Campbells Group
Campbells Group,Rockley Volcanics
Campbells Group,Jeremy Formation
Campbells Group,Mumbil Group
Laura Formation,Pretty Hill Formation
Elatina Formation,Yaltipena Formation
Kevington Creek Formation,Callemondah Conglomerate
Callemondah Conglomerate,Murrindindi Supergroup
Tapanappa Formation,Karinya Shale
Karinya Shale,Backstairs Passage Formation
Wallanbah Formation,Bundook beds
Alum Rock Conglomerate,Thanes Creek Slate
Tarcunyah Group,Lamil Group
Lamil Group,Throssell Group
Drik Drik Formation,Copes Creek Andesite
Lamboo Ultramafics,Koongie Park Formation
Hawkins Suite,Canberra Formation
Canberra Formation,Black Mountain Sandstone
Mount Oxley Formation,Moira Formation
Murnaroo Sandstone,Meramangye Formation
Karlaya Limestone Member,Dey Dey Mudstone
Dey Dey Mudstone,Murnaroo Sandstone
Sabina Sandstone,Sue Group
Sue Group,Mosswood Formation
Mosswood Formation,Cullens Diamictite
Woodynook Sandstone,Mosswood Formation
Willespie Formation,Redgate Coal Measures
Redgate Coal Measures,Ashbrook Sandstone
Ashbrook Sandstone,Rosabrook Coal Measures
Rosabrook Coal Measures,Woodynook Sandstone
Murta Formation,McKinlay Member
McKinlay Member,Algebuckina Sandstone
McKinlay Member,Hooray Sandstone
McKinlay Member,Namur Sandstone
Bungonia Group,Adaminaby Group
Efflux Siltstone Member,Folly Point Limestone Member
Sawtooth Ridge Limestone Member,Folly Point Limestone Member
Folly Point Limestone Member,Tangerang Formation
Folly Point Limestone Member,Cardinal View Shale
Sawtooth Ridge Limestone Member,Efflux Siltstone Member
Tangerang Formation,Sawtooth Ridge Limestone Member
Upper Muderong Shale,M. australis Sandstone
Windalia Sandstone,M. australis Sandstone
M. australis Sandstone,Lower Muderong Shale
Carey Gully Sandstone Member,Arbury Park Sandstone Member
Arbury Park Sandstone Member,Barossa Complex
Arbury Park Sandstone Member,Uraidla Phyllite Member
Uraidla Phyllite Member,Arbury Park Sandstone Member
Wyarra Shale,Wydjah Formation
Wydjah Formation,Pincally Formation
Sturgess Point Member,Dilwyn Formation
Yalmy Group,New Country Sandstone
Rhynie Sandstone,Spalding Dolomite Member
Spalding Dolomite Member,Rhynie Sandstone
Rhynie Sandstone,Jarrold Basalt Member
Jarrold Basalt Member,Rhynie Sandstone
Blyth Dolomite,Anama Siltstone Member
Anama Siltstone Member,Rhynie Sandstone
Skillogalee Dolomite,Marola Sandstone Member
Canomodine Limestone,Fairbridge Volcanics
Canomodine Limestone,Cargo Volcanics
Malongulli Formation,Canomodine Limestone
Lake Maurice Group,Alinya Formation
Apamurra Formation,Mount Johns Conglomerate Member
Mount Johns Conglomerate Member,Arcoeillinna Sandstone
Oolarinna Member,Wallatinna Member
Marla Group,Mena Mudstone Member
Mena Mudstone Member,Munta Limestone Member
Mernmerna Formation,Wirrapowie Limestone
Oriental Claims Gravel,Older Volcanics
Buchan Group,Avonmore Subgroup
Teapot Creek Formation,Omeo Metamorphic Complex
Teapot Creek Formation,Pinnak Sandstone
Mount Elizabeth Caldera Complex,Dead Bird Suite
Roadsend Formation,Mount Elizabeth Granodiorite
Buchan Caves Limestone,Quindalup Ignimbrite
Quindalup Ignimbrite,Tin Pot Ignimbrite
Tin Pot Ignimbrite,Carriage Range Ignimbrite
Carriage Range Ignimbrite,Attunga Paringa Formation
Blackfellows Flat Formation,Berrawan Conglomerate
Shanahan Sandstone,Blackfellows Flat Conglomerate
Wongarlong Formation,Brownrigg Sandstone
Nooloo Formation,Wongarlong Formation
Blackfellows Flat Conglomerate,Berrawan Conglomerate
Vitric Ignimbrite Member,Berrawan Conglomerate
Neara Volcanics,Amamoor beds
North Arm Volcanics,Amamoor beds
Edmund Group,Durlacher Supersuite
Edmund Group,Gascoyne Complex
Edmund Group,Biddenew Formation
Collier Group,Edmund Group
Edmund Group,Capricorn Group
Edmund Group,Mount Minnie Group
Collier Group,Gascoyne Complex
Collier Group,Wyloo Group
Salvation Group,Collier Group
Collier Group,Fortescue Group
Collier Group,Hamersley Group
Collier Group,Earaheedy Group
Gooragoora Formation,Irregully Formation
Ullawarra Formation,Discovery Formation
Bangemall Supergroup,Moorarie Supersuite
Sunbeam Group,Bangemall Supergroup
Bangemall Supergroup,Ashburton Formation
Bangemall Supergroup,Wyloo Group
Bangemall Supergroup,Capricorn Group
Bangemall Supergroup,Gascoyne Complex
Bangemall Supergroup,Bresnahan Group
Bangemall Supergroup,Mount Minnie Group
Bangemall Supergroup,Mount James Formation
Bangemall Supergroup,Durlacher Supersuite
Cape Hillsborough beds,Campwyn Volcanics
Cape Hillsborough beds,Carmila beds
Emerald Formation,Cape Hillsborough beds
Exevale Formation,Cape Hillsborough beds
Duaringa Formation,Cape Hillsborough beds
Beacon Supergroup,Olympic Granite Gneiss
Warri Warri Member,Koongaling Volcanic Member
Bamboo Creek Member,Koongaling Volcanic Member
Warroo Hill Member,Koongaling Volcanic Member
Koongaling Volcanic Member,Gregory Granitic Complex
Kialrah Rhyolite,Louden Volcanic Member
Kialrah Rhyolite,Bookingarra Formation
Jeerinah Formation,Maddina Formation
Googhenama Formation,Maddina Formation
Evergreen Formation,Torsdale Volcanics
Tartrus Rhyolite,Leura Volcanics
Back Creek Group,Leura Volcanics
Leura Volcanics,Mountain View Volcanics
Leura Volcanics,Clive Creek Volcanics
Leura Volcanics,Broadsound Range Volcanics
Leura Volcanics,Whelan Creek Volcanics
Leura Volcanics,Bora Creek Quartz Monzodiorite
Leura Volcanics,Tooloombah Creek Granite
Lizzie Creek Volcanic Group,Leura Volcanics
Mount Bulgi Conglomerate Member,Torsdale Volcanics
Mount Bulgi Conglomerate Member,Kooingal Granodiorite Complex
Gunningbland Formation,Billabong Creek Formation
Goonumbla Volcanics,Gunningbland Formation
Hindmarsh Clay,Cape Jervis Formation
Elimeek Volcanics,Cape River Metamorphics
Betts Creek beds,Elimeek Volcanics
Cape Londonderry Formation,Mount Goodwin Formation
Leura Volcanics,Burwood Complex
Warners Bay Tuff,Adamstown Formation
Boolaroo Formation,Warners Bay Tuff
Hollands Creek Ignimbrite,Lewis Farm Conglomerate
Ryans Creek Ignimbrite,Mine Creek Rhyolite
Toombullup Ignimbrite,Ryans Creek Ignimbrite
Lizzie Creek Volcanics,Pisgah Igneous Complex
Amber Formation,Crotty Formation
Cape Range Group,Walcott Formation
Delambre Formation,Cape Range Group
Cape Range Group,Giralia Calcarenite
Mount Buffalo Volcanics,Ametdale Volcanics
Mount Buffalo Volcanics,Leura Volcanics
Mount Buffalo Volcanics,Broadsound Range Volcanics
Tilmouth beds,Anmatyerre Clay
Moogie Metamorphics,Halfway Gneiss
Leake Spring Metamorphics,Halfway Gneiss
Yilgatherra Formation,Halfway Gneiss
Mumba Psammite,Halfway Gneiss
Mount James Formation,Halfway Gneiss
Amberoona Formation,Tapley Hill Formation
Fortress Hill Formation,Amberoona Formation
Balcanoona Formation,Amberoona Formation
Tjuninanta Formation,Karukali Quartzite
Dean Quartzite,Amputjuta Dacite
Jasper Gorge Sandstone,Tijunna Group
Antrim Plateau Volcanics,Tijunna Group
Tijunna Group,Wattie Group
Tijunna Group,Limbunya Group
Auvergne Group,Tijunna Group
Strathearn Group,Saltbush Group
Strathearn Group,Curnamona Group
Bimba Formation,Curnamona Group
Portia Formation,Curnamona Group
Croles Hill Diamictite,Julius River Member
Cooya Pooya Dolerite,Coolajacka Member
Lyre Creek Member,Coolajacka Member
Spinks Creek Volcanics,Croles Hill Diamictite
Keppel Creek Formation,Spinks Creek Volcanics
Ormoral Volcanics,Bald Hill Formation
Bromley Hills Formation,Ormoral Volcanics
Bromley Hills Formation,Bald Hill Formation
Fitz Creek beds,Silverwood Group
Dead Bullock Formation,Stubbins Formation
Dead Bullock Formation,Billabong Complex
Killi Killi Formation,Dead Bullock Formation
Killi Killi Formation,Stubbins Formation
Killi Killi Formation,Callie Member
Ware Group,Killi Killi Formation
Killi Killi Formation,Killi Killi Formation
Gardiner Sandstone,Killi Killi Formation
Lewis Point Siltstone and Sandstone,D'Entrecasteaux Formation
Johnston Point Sandstone,Lewis Point Siltstone and Sandstone
Collara Subgroup,Urapunga Granite
Collara Subgroup,McArthur Group
Collara Subgroup,Nathan Group
Collara Subgroup,Mount Rigg Group
Dandongadale Siltstone,Moornapa Sandstone
Bear Gully Chert Bed,Corduroy Creek Gabbro
Murrindindi Supergroup,Mount Easton Shale
Thackaringa Group,Farmcote Gneiss
Cues Formation,Farmcote Gneiss
Colinton Volcanics,Cappanana Formation
Rothlyn Formation,Cappanana Formation
Salvation Group,Scorpion Group
Sunbeam Group,Salvation Group
Capricorn Group,Ashburton Formation
Capricorn Group,Wyloo Group  Upper
Penny Dam Conglomerate,Mount Belches Formation
Pooraka Formation,Mailman Gap Member
Mailman Gap Member,Bootheragandra Group
Mailman Gap Member,Jimberoo Formation
Mailman Gap Member,Hillston Volcanic Complex
Barrat Formation,Bootheragandra Group
Bogolong Formation,Barrat Formation
Hazeldene Sandstone,Barrat Formation
Barrat Formation,Square Head Formation
Tullibigeal Leucitite,Kikoira Granite
Tullibigeal Leucitite,Wagga Group
Tullibigeal Leucitite,Melbergen Sandstone
Tullibigeal Leucitite,Jimberoo Formation
Tullibigeal Leucitite,Mailman Gap Member
Ponto Group,Kara Formation
Mutawintji Group,Ponto Group
Mount Daubeny Formation,Ponto Group
Captains Flat Formation,Carwoola Formation
Captains Flat Formation,Copper Creek Shale
Mount Goode Basalt,Kathleen Valley Gabbro
Dales Gorge Member,Colonial Chert Member
Kanowna Conglomerate,Ballarat Conglomerate
Durba Sandstone,Lungkarta Formation
Lungkarta Formation,Wahlgu Group
Wilari Dolomite Member,Karlaya Limestone Member
Cuddyong Formation,Wet Lagoon Volcanics
Vines Formation,Wahlgu Formation
Vines Formation,Lungkarta Formation
Table Hill Volcanics,Vines Formation
Wahlgu Formation,Kanpa Formation
Lungkarta Formation,Wahlgu Formation
Wahlgu Formation,Steptoe Formation
Pindar beds,Lake Willson beds
Ethiudna Subgroup,Wiperaminga Subgroup
Mount Howden Subgroup,Ethiudna Subgroup
Mount Howden Subgroup,Saltbush Subgroup
Giralia Calcarenite,Cardabia Calcarenite
Cardabia Calcarenite,Miria Formation
Treachery Formation,Kuriyippi Formation
Keyling Formation,Treachery Formation
Quoin Formation,Treachery Formation
Cardarie Sandstone Member,Mokadine Formation
Barangaroo Ignimbrite,Toolondo Volcaniclastics
Barangaroo Ignimbrite,Grampians Group
Mardie Greensand Member,Lowendal Member
Edmund Group,Yangibana Granite
Edmund Group,Dingo Creek Granite
Katherine River Group,Mount Reid Rhyolite
Limmen Sandstone,Mount Reid Rhyolite
Knuckey Formation,Mount Reid Rhyolite
Nullawun Member,Gibb Member
Nullawun Member,Wadjeli Sandstone Member
Wadjeli Sandstone Member,Gibb Member
Bulimba Formation,Reamba Volcanics
Reamba Volcanics,Fig Tree Hill Granite Complex
Tunnelrace Volcanics,Corinna Dolomite
Gurragong Volcanics,Eura Bonny Granite
Hindmarsh Clay,Carisbrooke Sand
Carisbrooke Sand,Dry Creek Sandstone
Carisbrooke Sand,Hallet Cove Sandstone
Wyaaba beds,Carl Creek Limestone
Falloch beds,Carl Creek Limestone
Carl Creek Limestone,Thorntonia Limestone
Castlemaine Group,Goldie Chert
Castlemaine Group,Heathcote Volcanic Group
White Hills Gravel,Castlemaine Group
Cravens Peak beds,Carlo Sandstone
Bulleringa Volcanic Subgroup,Blackman Gap Complex
Galloway Volcanic Group,Etheridge Group
Galloway Volcanic Group,Forsayth Supersuite
Carlton Group,Antrim Plateau Volcanics
Cockatoo Group,Carlton Group
Crookwell Basalt,Longreach Volcanics
Quialigo Formation,Bullamalita Conglomerate
Glanmire Conglomerate Member,Langton Dolerite
South Curra Limestone,Langton Dolerite
Langton Dolerite,Highbury Basalt
Carmichael Sandstone,Winnall beds
Mount Little Volcanic Group,Croydon Volcanic Group
Wilkie Gray Group,Argentine Metamorphics
Julie Formation,Carnegie Formation
Carnegie Formation,Bitter Springs Group
Ellis Sandstone,Carnegie Formation
Carnegie Formation,Boord Formation
Wandiwarra Member,Windidda Member
Princess Ranges Member,Wandiwarra Member
Carr Boyd Group,Revolver Creek Formation
Duerdin Group,Carr Boyd Group
Janet Ranges Volcanic Group,Sefton Metamorphics
Warby Volcanic Subgroup,Blackman Gap Complex
Carramere Coal Member,Strathmore Formation
Dean Quartzite,Bloods Range Formation
Dean Quartzite,Imbumbunna Granite
Carribuddy Group,Carranya Formation
Kulail Sandstone,Tjauwata Group
Dean Quartzite,Tjauwata Group
Heavitree Formation,Tjauwata Group
Tjauwata Group,Pottoyu Granite Suite
Bangemall Supergroup,Red Rock Granite
Moonaree Dacite Member,Pondanna Dacite Member
Pondanna Dacite Member,Eucarro Rhyolite
Eucarro Rhyolite,Roopena Basalt
Carrara Range Group,Murphy Metamorphics
Jan Juc Marl,Demons Bluff Group
Demons Bluff Group,Eastern View Formation
Anglesea Formation,Salt Creek Formation
Salt Creek Formation,Boonah Formation
Angahook Formation,Addiscot Formation
Addiscot Formation,Anglesea Formation
St Marys Porphyry,Mathinna Supergroup
Mathinna Supergroup,Gordon Group
Panama Group,Tippogoree Group
St Marys Porphyry,Panama Group
Dundee Rhyodacite,Magistrate Volcanic Member
Magistrate Volcanic Member,Dummy Creek Conglomerate
Dundee Rhyodacite,Wollundi Mudstone Member
Wollundi Mudstone Member,Dummy Creek Conglomerate
Nallanaring Volcanic Member,Isabella Member
Isabella Member,Woodiana Member
Isabella Member,Baramine Volcanic Member
Woodiana Member,Mount Jope Volcanics
Warrie Member,Woodiana Member
Woodiana Member,Maddina Formation
Kuruna Member,Tumbiana Formation
Kuruna Member,Baramine Volcanic Member
Meentheena Member,Mingah Member
Lyre Creek Member,Mount Roe Basalt
Tumbiana Formation,Lyre Creek Member
Kylena Formation,Lyre Creek Member
Hatfield Formation,Maydon Basalt
Annabelle Volcanics,Hatfield Formation
Maydon Basalt,Bandalup Ultramafics
Bandalup Ultramafics,Chester Formation
Mount Roe Basalt,Woodbrook Formation
Carribuddy Group,Goldwyer Formation
Grant Group,Carribuddy Group
Gibbo River Formation,Toaks Creek Conglomerate
Telfer Member,Malu Formation
Edmund Group,Dumbie Granodiorite
Mount James Formation,Moogie Metamorphics
Tanguin Member,Warri Warri Member
Warroo Hill Member,Tanguin Member
Tarcunyah Group,Warroo Hill Member
Kylena Basalt,Warri Warri Member
Carriers Well Formation,Everetts Creek Volcanics
Carryer Conglomerate,Glasgow Volcanics
Tollu Group,Mummawarrawarra Basalt
Mount Ragged Formation,Recherche Supersuite
Duffer Formation,Dresser Formation
Kelly Group,Dresser Formation
Coongan Subgroup,Dresser Formation
Carson Volcanics,Lamboo Complex
Carson Volcanics,King Leopold Sandstone
Main Range Volcanics,Gilla Volcanics
Gilla Volcanics,Sugarloaf Metamorphics
Main Range Volcanics,Taromeo Igneous Complex
Mount Isa Group,Carters Bore Rhyolite
Surprise Creek Formation,Carters Bore Rhyolite
McNamara Group,Carters Bore Rhyolite
Carters Bore Rhyolite,Haslingden Group
Carters Bore Rhyolite,Quilalar Formation
Kullangor Member,Kin Kin beds
"Fantome Formation""""",Cartier Formation
Walparuta Formation,Plumbago Formation
Black Maria Formation,Plumbago Formation
Alconie Formation,Plumbago Formation
Strathearn Group,Plumbago Formation
Mount Howden Subgroup,Plumbago Formation
Plumbago Formation,Ettlewood Calc Silicate Member
Buckaroo Conglomerate,Carwell Creek Formation
Carwoola Formation,Copper Creek Shale
Cadna owie Formation,Livingston Tillite Member
Livingston Tillite Member,Cadna owie Formation
Yilgatherra Formation,Ashburton Formation
Yilgatherra Formation,Capricorn Formation
Yilgatherra Formation,Gascoyne Complex
Yilgatherra Formation,Mount Augustus Sandstone
Yilgatherra Formation,Mount James Subgroup
Yilgatherra Formation,Leake Spring Metamorphics
Yilgatherra Formation,Pooranoo Metamorphics
Yilgatherra Formation,Capricorn Group
Irregully Formation,Yilgatherra Formation
Barton Sand,Khasta Formation
Norseman Formation,North Royal Formation
Dongara Sandstone,Carynginia Formation
Coleraine Volcanic Group,Hassall Creek Granodiorite
Duddo Limestone,Ferres Creek Tonalite
Coleraine Volcanic Group,Wennicott Tonalite
Coleraine Volcanic Group,Warradale Tonalite
Digger Island Marlstone,Corduroy Creek Gabbro
Digger Island Marlstone,Bear Gully Chert Bed
Cascade Basalt,Duncombe Bay Basalt
Currie Group,Wickham metamorphics
Cowal Igneous Complex,Great Flood Unit
Clifden Formation,Ermelo Pyroclastics
Ermelo Pyroclastics,Caroda Formation
Garcia Sandstone,Cascades Group
Grampians Group,Nargoon Group
Renmark Group,Nargoon Group
Shepparton Formation,Nargoon Group
Nargoon Group,Mount Stavely Volcanic Complex
Edithvale Formation,Hazeldene Sandstone
Nundora Formation,Kara Formation
Skipworth Subgroup,Yarra Creek Shale
City of Melbourne Volcanics,Grimes Intrusive Suite
Ponto Group,Teltawongee Group
Teltawongee Group,Grey Range Group
Kayrunnera Group,Teltawongee Group
Kandie Tank Limestone,Copper Mine Range Formation
Muckabunnya Formation,Copper Mine Range Formation
Copper Mine Range Formation,Bunker Creek Formation
Copper Mine Range Formation,Kara Formation
Shivering Conglomerate,Poidevins Sandstone
Crookwell Basalt,Poidevins Sandstone
Poidevins Sandstone,Dignams Siltstone
Albacore Subgroup,Angler Subgroup
Hapuku Subgroup,Albacore Subgroup
Lower Limestone Member,Cashions Creek Limestone
Cashions Creek Limestone,Karmberg Limestone
Ninderry Member,Carol Creek Rhyolite
"Haematitic Limestone Member""""",Bridge Creek Limestone Member
McEachern Sandstone,Casterton Formation
Eumeralla Formation,Casterton Formation
Crayfish Subgroup,Casterton Formation
Kingoonya Member,Pidinga Formation
Moornapa Sandstone,Bendoc Group
Howitt Spur Formation,Bindaree Formation
Boggy Creek Sandstone,Tomato Creek Ignimbrite
Nowa Nowa Conglomerate,Boggy Creek Sandstone
Staircase Ignimbrite,Cobbler Rhyolite
Ryans Creek Ignimbrite,Cobbler Rhyolite
Saint Arnaud Group,Deenicull Schist
Dookie Igneous Complex,Howqua Chert
Fortescue Group,Golden Eagle Orthogneiss
Eagles Peak Basalt,Malcolm Creek Hyaloclastite
Howqua Chert,Eagles Peak Basalt
Howitt Spur Formation,Rose River Volcanics
Mount Kent Conglomerate,Howitt Spur Formation
Fluke Knob Ignimbrite,Kanni Ignimbrite
Tomato Creek Ignimbrite,Kanni Ignimbrite
Howqua Chert,Lickhole Volcanic Group
Larsen Creek Ignimbrite,Murtagh Creek Ignimbrite
Murtagh Creek Ignimbrite,Tabor Volcanics
Romsey Subgroup,Goldie Chert
Ulta Limestone,Mereenie Sandstone
Geolsec Formation,Coomalie Dolostone
Depot Creek Sandstone,Geolsec Formation
Pooranoo Metamorphics,Morrissey Metamorphics
Pooranoo Metamorphics,Quartpot Pelite
